wm,dw,pv_bess,ev,critical
0.0,0.0,0,0.0,0.067
0.0,0.0,0,0.0,0.08900000000000001
0.17399999999999985,0.0,0,0.0,0.061
0.03499999999999997,0.0,0,0.0,0.075
0.004999999999999996,0.0,0,0.0,0.075
0.008999999999999992,0.0,0,0.0,0.175
0.0,0.0,0,0.0,0.115
0.0,0.0,0,0.0,0.096
0.0,0.0,0,0.0,0.153
0.0,0.0,0,0.0,0.11
0.0,0.0,0,0.67,0.08
0.0,0.0,0,0.6839999999999999,0.066
0.0,0.0,0,0.6543213296399281,0.044000000000000004
0.0,0.0,0,-1.0,0.052000000000000005
0.0,0.0,0,0.391,0.359
0.0,0.0,0,-1.0,0.382
0.0,0.0,0,-1.0,0.09699999999999999
0.0,0.0,0,-1.0,0.085
0.0,0.0,0,-1.0,0.115
0.0,0.0,0,-1.0,0.39899999999999997
0.0,0.0,0,0.0,0.251
0.0,0.0,0,0.33899999999999997,0.41100000000000003
0.0,0.0,0,-1.0,0.39399999999999996
0.0,0.0,0,-0.38999999999999857,0.39
0.0,0.0,0,0.0,0.221
0.0,0.0,0,0.51,0.24
0.0,0.0,0,-1.0,0.25
0.0,0.0,0,0.0,0.21899999999999997
0.0,0.0,0,0.0,0.22
0.0,0.0,0,0.475,0.275
0.0,0.0,0,-1.0,0.126
0.0,0.0,0,0.0,0.075
0.0,0.0,0,0.0,0.063
0.0,0.0,0,0.696,0.054000000000000006
0.0,0.0,0,-1.0,0.053
