,wm,dw,pv_bess,ev,critical
59,0.0,0.0,0,0.0,0.161
60,0.0,0.0,0,0.0,0.245
61,0.0,0.0,0,0.0,0.165
62,0.0,0.0,0,0.706,0.044000000000000004
63,0.0,0.0,0,0.0,0.040999999999999995
64,0.0,0.0,0,0.7109999999999999,0.039
65,0.0,0.0,0,0.0,0.031
66,0.0,0.0,0,0.0,0.039
67,0.0,0.0,0,0.0,0.028999999999999998
68,0.0,0.0,0,0.6989999999999998,0.051
69,0.0,0.0,0,0.704,0.046
70,0.0,0.0,0,0.0,0.044000000000000004
71,0.0,0.0,0,0.0,0.05
72,0.0,0.0,0,0.704,0.046
73,0.0,0.0,0,0.0,0.184
74,0.0,0.0,0,0.0,0.409
75,0.0,0.0,0,0.0,0.271
76,0.0,0.0,0,0.0,0.23600000000000002
77,0.0,0.0,0,0.0,0.17
78,0.0,0.0,0,0.0,0.138
79,0.0,0.0,0,0.0,0.026000000000000002
80,0.0,0.0,0,0.0,0.02
81,0.0,0.0,0,0.0,0.046
82,0.0,0.0,0,0.0,0.045
83,0.0,0.0,0,0.0,0.045
84,0.0,0.0,0,0.0,0.065
85,0.0,0.0,0,0.0,0.07
86,0.0,0.0,0,0.0,0.028999999999999998
87,0.0,0.0,0,0.72,0.03
88,0.0,0.0,0,0.0,0.035
89,0.0,0.0,0,0.0,0.046
90,0.0,0.0,0,0.0,0.032
91,0.0,0.0,0,0.0,0.048
92,0.0,0.0,0,0.0,0.03
93,0.0,0.0,0,0.0,0.025
94,0.0,0.005,0,0.0,0.03
95,0.0,0.003,0,0.0,0.04
96,0.0,0.0,0,0.0,0.05
97,0.0,0.0,0,0.0,0.05
98,0.0,0.0,0,0.0,0.034
99,0.0,0.0,0,0.0,0.031
100,0.0,0.0,0,0.0,0.028999999999999998
101,0.0,0.0,0,0.0,0.081
102,0.0,0.0,0,0.0,0.105
103,0.0,0.0,0,0.0,0.099
104,0.0,0.0,0,0.0,0.04
105,0.0,0.0,0,0.0,0.071
106,0.0,0.0,0,0.0,0.07
107,0.0,0.0,0,0.0,0.04
108,0.0,0.0,0,0.0,0.22
109,0.0,0.0,0,0.0,0.073
110,0.0,0.0,0,0.0,0.067
111,0.0,0.0,0,0.0,0.08900000000000001
112,0.174,0.0,0,0.0,0.061
113,0.035,0.0,0,0.0,0.075
114,0.005,0.0,0,0.0,0.075
115,0.009000000000000001,0.0,0,0.0,0.175
116,0.0,0.0,0,0.0,0.115
117,0.0,0.0,0,0.0,0.096
118,0.0,0.0,0,0.0,0.153
119,0.0,0.0,0,0.0,0.11
120,0.0,0.0,0,0.6699999999999999,0.08
121,0.0,0.0,0,0.6839999999999999,0.066
122,0.0,0.0,0,0.0,0.044000000000000004
123,0.0,0.0,0,0.0,0.052000000000000005
124,0.0,0.0,0,0.0,0.359
125,0.0,0.0,0,0.0,0.382
126,0.0,0.0,0,0.0,0.09699999999999999
127,0.0,0.0,0,0.0,0.085
128,0.0,0.0,0,0.0,0.115
129,0.0,0.0,0,0.0,0.39899999999999997
130,0.0,0.0,0,0.0,0.251
131,0.0,0.0,0,0.0,0.41100000000000003
132,0.0,0.0,0,0.0,0.39399999999999996
133,0.0,0.0,0,0.0,0.39
134,0.0,0.0,0,0.0,0.221
135,0.0,0.0,0,0.0,0.24
136,0.0,0.0,0,0.0,0.25
137,0.0,0.0,0,0.0,0.21899999999999997
138,0.0,0.0,0,0.0,0.22
139,0.0,0.0,0,0.0,0.275
140,0.0,0.0,0,0.0,0.126
141,0.0,0.0,0,0.0,0.075
142,0.0,0.0,0,0.0,0.063
143,0.0,0.0,0,0.0,0.054000000000000006
144,0.0,0.0,0,0.0,0.053
145,0.0,0.0,0,0.0,0.054000000000000006
146,0.0,0.0,0,0.0,0.065
147,0.0,0.0,0,0.0,0.040999999999999995
148,0.0,0.0,0,0.0,0.044000000000000004
149,0.0,0.0,0,0.0,0.051
150,0.0,0.0,0,0.0,0.044000000000000004
151,0.0,0.0,0,0.714,0.036000000000000004
152,0.0,0.0,0,0.0,0.039
153,0.0,0.0,0,0.0,0.031
154,0.0,0.0,0,0.20678947368421038,0.028999999999999998
155,0.0,0.0,0,0.0,0.039
156,0.0,0.0,0,0.0,0.040999999999999995
157,0.0,0.0,0,0.0,0.035
158,0.0,0.0,0,0.714,0.036000000000000004
159,0.0,0.0,0,0.0,0.028999999999999998
160,0.0,0.0,0,0.7249999999999999,0.025
161,0.0,0.0,0,0.0,0.031
162,0.0,0.0,0,0.0,0.044000000000000004
163,0.0,0.0,0,0.0,0.040999999999999995
164,0.0,0.0,0,0.7110000000000001,0.039
165,0.0,0.0,0,0.7190000000000001,0.031
166,0.0,0.0,0,0.0,0.039
167,0.0,0.0,0,0.0,0.035
168,0.0,0.0,0,0.7070000000000001,0.043
169,0.0,0.0,0,0.0,0.063
170,0.0,0.0,0,0.0,0.055999999999999994
171,0.0,0.0,0,0.0,0.168
172,0.0,0.0,0,0.0,0.141
173,0.0,0.0,0,0.0,0.046
174,0.0,0.0,0,0.0,0.08199999999999999
175,0.0,0.0,0,0.0,0.087
176,0.0,0.0,0,0.0,0.054000000000000006
177,0.0,0.0,0,0.0,0.046
178,0.0,0.0,0,0.0,0.17
179,0.0,0.0,0,0.0,0.03
180,0.0,0.0,0,0.0,0.02
181,0.0,0.0,0,0.0,0.19
182,0.0,0.0,0,0.0,0.369
